date,triplet,head,relation,tail,sentence
2022-07-05,"{'head': 'Tesla Inc.', 'relation': 'had lower share growth', 'tail': 'compared to its peers'}",Tesla Inc.,had lower share growth,compared to its peers,Tesla Inc. had lower share growth compared to its peers
2022-07-05,"{'head': 'Apple Inc.', 'relation': 'gained in share price', 'tail': '1.5%'}",Apple Inc.,gained in share price,1.5%,Apple Inc. gained in share price 1.5%
2022-07-05,"{'head': 'Microsoft Corp.', 'relation': 'gained in share price', 'tail': '1.0%'}",Microsoft Corp.,gained in share price,1.0%,Microsoft Corp. gained in share price 1.0%
2022-07-05,"{'head': 'Alphabet Inc.', 'relation': 'gained in share price', 'tail': '3.8%'}",Alphabet Inc.,gained in share price,3.8%,Alphabet Inc. gained in share price 3.8%
2022-07-05,"{'head': 'Amazon.com Inc.', 'relation': 'gained in share price', 'tail': '3.6%'}",Amazon.com Inc.,gained in share price,3.6%,Amazon.com Inc. gained in share price 3.6%
2022-07-06,"{'head': 'Tesla', 'relation': 'has high valuation', 'tail': 'TSLA'}",Tesla,has high valuation,TSLA,Tesla has high valuation TSLA
2022-07-06,"{'head': 'Tesla', 'relation': 'has meme stock features', 'tail': 'TSLA'}",Tesla,has meme stock features,TSLA,Tesla has meme stock features TSLA
2022-07-06,"{'head': 'Tesla', 'relation': 'is trading at a high P/E ratio', 'tail': 'TSLA'}",Tesla,is trading at a high P/E ratio,TSLA,Tesla is trading at a high P/E ratio TSLA
2022-07-06,"{'head': 'Tesla', 'relation': 'is facing economic headwinds', 'tail': 'TSLA'}",Tesla,is facing economic headwinds,TSLA,Tesla is facing economic headwinds TSLA
2022-07-06,"{'head': 'Tesla', 'relation': 'is no longer a good investment', 'tail': 'TSLA'}",Tesla,is no longer a good investment,TSLA,Tesla is no longer a good investment TSLA
2022-07-07,"{'head': 'Tesla', 'relation': 'may introduce', 'tail': 'Robovan'}",Tesla,may introduce,Robovan,Tesla may introduce Robovan
2022-07-07,"{'head': 'Tesla', 'relation': 'facing challenges in', 'tail': 'supply chain disruptions, chip shortage, and soaring raw material prices'}",Tesla,facing challenges in,"supply chain disruptions, chip shortage, and soaring raw material prices","Tesla facing challenges in supply chain disruptions, chip shortage, and soaring raw material prices"
2022-07-07,"{'head': 'Tesla', 'relation': 'impacted by', 'tail': 'looming recession'}",Tesla,impacted by,looming recession,Tesla impacted by looming recession
2022-07-07,"{'head': 'Tesla', 'relation': 'has a busy roadmap until', 'tail': 'end of 2024'}",Tesla,has a busy roadmap until,end of 2024,Tesla has a busy roadmap until end of 2024
2022-07-07,"{'head': 'Tesla', 'relation': ""hasn't launched"", 'tail': 'new vehicle in a long time'}",Tesla,hasn't launched,new vehicle in a long time,Tesla hasn't launched new vehicle in a long time
2022-07-08,"{'head': ""Tesla's stock"", 'relation': 'has been underperforming', 'tail': 'the market'}",Tesla's stock,has been underperforming,the market,Tesla's stock has been underperforming the market
2022-07-08,"{'head': ""Tesla's stock"", 'relation': 'has dropped', 'tail': 'about 34%'}",Tesla's stock,has dropped,about 34%,Tesla's stock has dropped about 34%
2022-07-08,"{'head': ""Tesla's stock"", 'relation': 'should have received some benefit for beating earnings estimates', 'tail': 'In a flat market'}",Tesla's stock,should have received some benefit for beating earnings estimates,In a flat market,Tesla's stock should have received some benefit for beating earnings estimates In a flat market
2022-07-08,"{'head': 'Elon Musk', 'relation': 'is selling additional shares', 'tail': ""Tesla's stock""}",Elon Musk,is selling additional shares,Tesla's stock,Elon Musk is selling additional shares Tesla's stock
2022-07-08,"{'head': 'Twitter distraction', 'relation': 'is lifting', 'tail': 'overhang'}",Twitter distraction,is lifting,overhang,Twitter distraction is lifting overhang
2022-07-09,"{'head': 'Elon Musk', 'relation': 'is the CEO of', 'tail': 'Tesla Inc and rocket company Space X'}",Elon Musk,is the CEO of,Tesla Inc and rocket company Space X,Elon Musk is the CEO of Tesla Inc and rocket company Space X
2022-07-09,"{'head': 'Mike Winkelmann', 'relation': 'is known as', 'tail': 'Beeple'}",Mike Winkelmann,is known as,Beeple,Mike Winkelmann is known as Beeple
2022-07-09,"{'head': 'Beeple', 'relation': 'created', 'tail': 'an image of Elon Musk as the Greek god Zeus'}",Beeple,created,an image of Elon Musk as the Greek god Zeus,Beeple created an image of Elon Musk as the Greek god Zeus
2022-07-09,"{'head': 'Beeple', 'relation': 'revived', 'tail': 'the rivalry with Tesla and Elon Musk'}",Beeple,revived,the rivalry with Tesla and Elon Musk,Beeple revived the rivalry with Tesla and Elon Musk
2022-07-09,"{'head': 'Tesla', 'relation': 'is the center of', 'tail': 'todays automobile industry'}",Tesla,is the center of,todays automobile industry,Tesla is the center of todays automobile industry
2022-07-10,"{'head': ""Tesla's stock"", 'relation': 'has fallen', 'tail': '30% year to date'}",Tesla's stock,has fallen,30% year to date,Tesla's stock has fallen 30% year to date
2022-07-10,"{'head': 'Elon Musk', 'relation': 'wants to get out of the deal', 'tail': ""because Tesla's stock has fallen 30% year to date""}",Elon Musk,wants to get out of the deal,because Tesla's stock has fallen 30% year to date,Elon Musk wants to get out of the deal because Tesla's stock has fallen 30% year to date
2022-07-10,"{'head': 'Twitter', 'relation': 'sank', 'tail': '5.1 per cent on reports Elon Musk was preparing to walk away from a takeover proposal'}",Twitter,sank,5.1 per cent on reports Elon Musk was preparing to walk away from a takeover proposal,Twitter sank 5.1 per cent on reports Elon Musk was preparing to walk away from a takeover proposal
2022-07-10,"{'head': 'Elon Musk', 'relation': 'began his campaign to acquire Twitter', 'tail': 'on or around April 4'}",Elon Musk,began his campaign to acquire Twitter,on or around April 4,Elon Musk began his campaign to acquire Twitter on or around April 4
2022-07-10,"{'head': 'Elon Musk', 'relation': ""revealed he had acquired 9% of Twitter's stock"", 'tail': 'at that time'}",Elon Musk,revealed he had acquired 9% of Twitter's stock,at that time,Elon Musk revealed he had acquired 9% of Twitter's stock at that time
2022-07-11,"{'head': 'Elon Musk', 'relation': 'accused of breaching agreement', 'tail': 'Twitter'}",Elon Musk,accused of breaching agreement,Twitter,Elon Musk accused of breaching agreement Twitter
2022-07-11,"{'head': 'Short sellers', 'relation': 'made profit of', 'tail': '$1.3 billion'}",Short sellers,made profit of,$1.3 billion,Short sellers made profit of $1.3 billion
2022-07-11,"{'head': 'Elon Musk', 'relation': 'complained', 'tail': 'Twitter provided inaccurate information on spam accounts'}",Elon Musk,complained,Twitter provided inaccurate information on spam accounts,Elon Musk complained Twitter provided inaccurate information on spam accounts
2022-07-11,"{'head': 'Twitter', 'relation': 'plunged', 'tail': '11.3%'}",Twitter,plunged,11.3%,Twitter plunged 11.3%
2022-07-11,"{'head': 'Twitter', 'relation': 'plans to sue', 'tail': 'Elon Musk'}",Twitter,plans to sue,Elon Musk,Twitter plans to sue Elon Musk
2022-07-12,"{'head': 'Tesla Inc.', 'relation': 'stock price', 'tail': 'dropped 0.54%'}",Tesla Inc.,stock price,dropped 0.54%,Tesla Inc. stock price dropped 0.54%
2022-07-12,"{'head': 'Elon Musk', 'relation': 'alleged violations', 'tail': 'merger agreement with Twitter'}",Elon Musk,alleged violations,merger agreement with Twitter,Elon Musk alleged violations merger agreement with Twitter
2022-07-12,"{'head': 'Elon Musk', 'relation': 'no immediate response', 'tail': 'request for comment on Twitter lawsuit'}",Elon Musk,no immediate response,request for comment on Twitter lawsuit,Elon Musk no immediate response request for comment on Twitter lawsuit
2022-07-12,"{'head': 'Twitter', 'relation': 'negative impact', 'tail': ""Elon Musk's alleged violations of merger agreement""}",Twitter,negative impact,Elon Musk's alleged violations of merger agreement,Twitter negative impact Elon Musk's alleged violations of merger agreement
2022-07-12,"{'head': 'Tesla Inc.', 'relation': 'CEO', 'tail': 'Elon Musk'}",Tesla Inc.,CEO,Elon Musk,Tesla Inc. CEO Elon Musk
2022-07-13,"{'head': 'Tesla Inc', 'relation': 'has former employee', 'tail': 'Andrej Karpathy'}",Tesla Inc,has former employee,Andrej Karpathy,Tesla Inc has former employee Andrej Karpathy
2022-07-13,"{'head': 'Panasonic', 'relation': 'builds battery production site', 'tail': '$4 billion'}",Panasonic,builds battery production site,$4 billion,Panasonic builds battery production site $4 billion
2022-07-13,"{'head': 'Panasonic', 'relation': 'located', 'tail': 'Kansas'}",Panasonic,located,Kansas,Panasonic located Kansas
2022-07-13,"{'head': 'Panasonic', 'relation': 'supplies batteries to', 'tail': 'Tesla'}",Panasonic,supplies batteries to,Tesla,Panasonic supplies batteries to Tesla
2022-07-13,"{'head': 'Tesla', 'relation': 'produces electric vehicles', 'tail': 'Kansas factory'}",Tesla,produces electric vehicles,Kansas factory,Tesla produces electric vehicles Kansas factory
2022-07-14,"{'head': 'Tesla Inc.', 'relation': 'is being sued by', 'tail': 'Twitter Inc.'}",Tesla Inc.,is being sued by,Twitter Inc.,Tesla Inc. is being sued by Twitter Inc.
2022-07-14,"{'head': 'Twitter Inc.', 'relation': 'alleges that', 'tail': 'Elon Musk breached his contract'}",Twitter Inc.,alleges that,Elon Musk breached his contract,Twitter Inc. alleges that Elon Musk breached his contract
2022-07-14,"{'head': 'Elon Musk', 'relation': 'is the CEO of', 'tail': 'Tesla Inc.'}",Elon Musk,is the CEO of,Tesla Inc.,Elon Musk is the CEO of Tesla Inc.
2022-07-14,"{'head': 'The lawsuit', 'relation': 'could have', 'tail': 'significant financial implications for Tesla'}",The lawsuit,could have,significant financial implications for Tesla,The lawsuit could have significant financial implications for Tesla
2022-07-14,"{'head': 'Tesla Inc.', 'relation': 'has a price-earnings ratio of', 'tail': '97.37'}",Tesla Inc.,has a price-earnings ratio of,97.37,Tesla Inc. has a price-earnings ratio of 97.37
2022-07-15,"{'head': 'Tesla', 'relation': 'has CEO', 'tail': 'Elon Musk'}",Tesla,has CEO,Elon Musk,Tesla has CEO Elon Musk
2022-07-15,"{'head': 'Elon Musk', 'relation': 'is facing', 'tail': 'additional scrutiny'}",Elon Musk,is facing,additional scrutiny,Elon Musk is facing additional scrutiny
2022-07-15,"{'head': 'additional scrutiny', 'relation': 'from', 'tail': 'U.S. Securities and Exchange Commission'}",additional scrutiny,from,U.S. Securities and Exchange Commission,additional scrutiny from U.S. Securities and Exchange Commission
2022-07-15,"{'head': 'U.S. Securities and Exchange Commission', 'relation': 'is scrutinizing', 'tail': 'Elon Musk'}",U.S. Securities and Exchange Commission,is scrutinizing,Elon Musk,U.S. Securities and Exchange Commission is scrutinizing Elon Musk
2022-07-15,"{'head': 'Elon Musk', 'relation': 'tweets and disclosures', 'tail': 'controversial $44 billion acquisition of Twitter'}",Elon Musk,tweets and disclosures,controversial $44 billion acquisition of Twitter,Elon Musk tweets and disclosures controversial $44 billion acquisition of Twitter
2022-07-16,"{'head': 'Tesla', 'relation': 'ceo', 'tail': 'Elon Musk'}",Tesla,ceo,Elon Musk,Tesla ceo Elon Musk
2022-07-16,"{'head': 'Dish Network Corporation', 'relation': 'ceo', 'tail': 'Charlie Ergen'}",Dish Network Corporation,ceo,Charlie Ergen,Dish Network Corporation ceo Charlie Ergen
2022-07-16,"{'head': 'Charlie Ergen', 'relation': 'intent', 'tail': 'steal 12 Gigahertz band meant for space internet'}",Charlie Ergen,intent,steal 12 Gigahertz band meant for space internet,Charlie Ergen intent steal 12 Gigahertz band meant for space internet
2022-07-16,"{'head': 'Elon Musk', 'relation': 'opinion', 'tail': 'not cool'}",Elon Musk,opinion,not cool,Elon Musk opinion not cool
2022-07-16,"{'head': 'Charlie Ergen', 'relation': 'action', 'tail': 'joined with OneWeb to call for FCC to reject plans for opening up the 12 GHz band for ground-based 5G'}",Charlie Ergen,action,joined with OneWeb to call for FCC to reject plans for opening up the 12 GHz band for ground-based 5G,Charlie Ergen action joined with OneWeb to call for FCC to reject plans for opening up the 12 GHz band for ground-based 5G
2022-07-17,"{'head': 'Tesla', 'relation': 'has earnings release date', 'tail': 'Wednesday, July 20th'}",Tesla,has earnings release date,"Wednesday, July 20th","Tesla has earnings release date Wednesday, July 20th"
2022-07-17,"{'head': 'Tesla', 'relation': 'is a stock to watch this week', 'tail': 'for investors'}",Tesla,is a stock to watch this week,for investors,Tesla is a stock to watch this week for investors
2022-07-17,"{'head': 'Wednesday', 'relation': 'is an earnings release date', 'tail': 'for Tesla'}",Wednesday,is an earnings release date,for Tesla,Wednesday is an earnings release date for Tesla
2022-07-17,"{'head': 'Atlanta Fed President', 'relation': 'said raising rates too quickly', 'tail': 'could harm the economy'}",Atlanta Fed President,said raising rates too quickly,could harm the economy,Atlanta Fed President said raising rates too quickly could harm the economy
2022-07-17,"{'head': 'Fed officials', 'relation': 'continued to massage expectations', 'tail': 'for next week’s policy meeting'}",Fed officials,continued to massage expectations,for next week’s policy meeting,Fed officials continued to massage expectations for next week’s policy meeting
2022-07-18,"{'head': 'Tesla', 'relation': 'has announced', 'tail': 'intention to reduce staff numbers'}",Tesla,has announced,intention to reduce staff numbers,Tesla has announced intention to reduce staff numbers
2022-07-18,"{'head': 'Tesla', 'relation': 'price', 'tail': '$721.64 per share'}",Tesla,price,$721.64 per share,Tesla price $721.64 per share
2022-07-18,"{'head': 'Tesla', 'relation': 'market cap', 'tail': '$747.90Bil'}",Tesla,market cap,$747.90Bil,Tesla market cap $747.90Bil
2022-07-18,"{'head': 'Tesla', 'relation': 'has traded at', 'tail': '$721.64 per share on 07/18/2022'}",Tesla,has traded at,$721.64 per share on 07/18/2022,Tesla has traded at $721.64 per share on 07/18/2022
2022-07-18,"{'head': 'Tesla Inc', 'relation': 'has a price-earnings ratio of', 'tail': '97.91'}",Tesla Inc,has a price-earnings ratio of,97.91,Tesla Inc has a price-earnings ratio of 97.91
2022-07-19,"{'head': 'Tesla', 'relation': 'has the most American-made cars', 'tail': 'according to Sawyer Merritt'}",Tesla,has the most American-made cars,according to Sawyer Merritt,Tesla has the most American-made cars according to Sawyer Merritt
2022-07-19,"{'head': 'General Motors', 'relation': 'did not have a single vehicle', 'tail': 'on the top 10 list of most American-made cars'}",General Motors,did not have a single vehicle,on the top 10 list of most American-made cars,General Motors did not have a single vehicle on the top 10 list of most American-made cars
2022-07-19,"{'head': 'General Motors', 'relation': 'aims to sell', 'tail': 'more electric vehicles than Tesla by 2025'}",General Motors,aims to sell,more electric vehicles than Tesla by 2025,General Motors aims to sell more electric vehicles than Tesla by 2025
2022-07-19,"{'head': 'President Biden', 'relation': 'snubbed', 'tail': 'Tesla and Elon Musk'}",President Biden,snubbed,Tesla and Elon Musk,President Biden snubbed Tesla and Elon Musk
